"","Pat02","Pat03","Pat04","Pat06","Pat08","Pat118","Pat119","Pat123","Pat126","Pat14","Pat15","Pat16","Pat19","Pat20","Pat25","Pat27","Pat28","Pat29","Pat33","Pat36","Pat37","Pat38","Pat39","Pat40","Pat41","Pat43","Pat44","Pat45","Pat46","Pat47","Pat49","Pat50","Pat79","Pat80","Pat81","Pat83","Pat85","Pat86","Pat88","Pat90","Pat91","Pat98"
"CCL5-CXCL9_Dangaj",0.345458722745189,-0.61000150845902,0.116458704693994,0.561835560799944,0.397199315617491,0.482681870729754,0.253822863394654,0.229004434612341,0.0516934046345788,-0.375755949828954,-0.684314902585114,0.576059913203962,0.405598614661538,-0.134845451367506,0.108140225787283,-0.310028029657178,0.609625668449207,0.286650311018785,-0.600467139229828,-0.52454856951525,0.0855614973261972,0.666666666666673,0.177061243207202,-0.494750765109848,-0.301414207657233,0.507937767706571,-0.810457516339826,-0.788361404965796,-0.21430658928264,-0.533543340044857,0.681032238388532,-0.0756046919959703,-0.284830444935339,0.273573478624137,-0.464904093390651,0.542250734254513,0.856803327391566,-0.310215966613218,0.672057420811166,-0.00571686795250262,0.0207961972667836,0.331457989860974
"Chemokine_Messina",-0.26921865906866,-0.595615503649714,0.282143749324206,0.337040738679599,0.651035219750555,0.202378662229967,0.378698224852074,0.425087867597989,0.533721402174616,-0.501183431952637,-0.518343195266245,0.603769286069795,-0.0656804733727779,-0.0976331360946776,0.0372781065088733,-0.257881113006407,0.764261494771439,-0.538138878610009,-0.347797852758295,0.0228536605229642,0.0822485207100573,0.776923076923082,-0.405268588515222,-0.273773307322878,-0.584917721245596,0.117285783064099,-0.815016799463268,-0.710059171597599,-0.175662927173535,-0.0889494858585935,0.662276141607627,0.00650887573964509,-0.197827509442372,0.452626338588884,-0.602385076871006,0.246165166898144,0.591481519411351,-0.558718875342488,0.743488493348577,-0.18071617656565,0.461878645455893,0.241631749545422
"COX-IS_Bonavita",0.565761838378792,-0.437803427891093,-0.0812114462246873,-0.0748765097920317,-0.225948221956017,-0.15501886267911,0.00460059530942001,-0.134854290942778,-0.0512555308463019,0.768177929325851,-0.252641606762975,2.3529517993511,-0.0342494289329684,0.252306996018027,-0.322980368105188,3.76452314306159,-0.177097009056023,0.155089496801836,-0.524486021624694,-0.281098973097032,-0.0536981413418316,-0.089814989920351,3.19557519841861,-2.00196023387193,-0.232362893944703,-0.200268522507538,-0.224127584397146,-0.323639725618207,-1.76398458171368,-0.643920740320992,-0.205187903334194,-0.821332078177589,-0.0587702588238535,-0.0471059003607693,-0.253360958733402,-0.415285611482083,-0.124518058847451,-0.464400062084486,-0.191222740119999,-0.354868465305899,0.265858440628946,-0.101494288477166
"CYT_Davoli",0.108682811577093,-0.61214066015525,0.399033993752112,0.450785215794262,0.480548887009923,0.417011222681637,0.297431451822758,0.299329077238122,-0.0785587714116799,-0.220539965194203,-0.653868871825183,0.800945067926757,0.362079149438873,-0.322804746357238,0.165625908317205,-0.585337761762345,0.702303603071463,0.513290017720024,-0.691671588895477,-0.698759598346149,-0.0826934435912403,0.727111636148847,0.0284528331225176,-0.621454073363225,-0.557566922259377,0.566631866788301,-0.799763733018324,-0.75465037992936,-0.485528647371545,-0.61961015948024,0.815121086828109,0.0189013585351578,0.28078665261053,0.0686107271008637,-0.67395156526878,0.717660956881273,0.816893089190782,-0.385553254866634,0.839929119905489,0.143252494259612,-0.158298877731819,0.0797401063201552
"CYT_Rooney",0.101295641931679,-0.612485276796241,0.603062426383979,0.173733804475849,0.339811542991751,0.597140185716193,0.439207058248326,0.289752650176675,-0.00765606595995777,-0.31213191990578,-0.702591283863379,0.748527679623085,0.286219081272081,-0.072438162544176,0.316817552638137,-0.643109540636053,0.788574793875147,0.165416074219021,-0.621908127208491,-0.363368669022388,-0.0335689045936453,0.876914016489988,0.0465253239104773,-0.721436984687879,-0.606595995288585,0.711440619729671,-0.724970553592473,-0.800942285041236,-0.54416961130743,-0.75088339222616,0.843934040047113,-0.286808009422858,0.257361601884566,0.341871917738792,-0.692579505300364,0.736749116607773,0.662544169611306,-0.0329799764428796,0.889870435806832,0.110129564193163,-0.0488810365135516,-0.00647820965842699
"EMT_Thompson",0.212097947027033,0.396762075189507,0.425809077281391,0.0540899258267708,0.372566762056803,-0.301699399263252,-0.62212653470452,-0.0617393798726457,-0.0503985790558179,-0.0588546069543192,-0.291228017477347,-0.406654789119859,0.260480922337813,-0.243020766468037,0.295084172239844,0.0835168438905184,-0.20457505815114,0.370244757557561,0.146031977561276,0.320147062635197,0.0875897293900938,-0.0311993667348362,0.0933100615026062,-0.116005674916624,-0.406665433282041,-0.0248383803087937,0.199784802148967,-0.0735713754841606,0.499694791193927,-0.453389155391512,0.708378738249403,-0.163499751032704,-0.822643900304423,-0.244307498931288,-0.196115623347104,0.0885177495238056,0.391164038202062,0.269856111535823,-0.0725428334899101,-0.244083027486993,0.201391524879316,-0.387359918452396
"EMTstroma_Wang",0.539172485769662,0.398513337601661,-0.164960591412253,-0.274495549758697,-0.474772421659352,0.410029446926165,0.161639017782796,0.059265866533575,0.470883556554779,0.0941604659972345,-0.156599505842756,-0.371658579818931,0.501673081091986,-0.44305055887562,-0.741271357784586,0.497887340229077,-0.546399380792035,-0.23521019259781,-0.0599637219893769,0.19673989760531,0.194976580184727,-0.173760013223216,0.401795002048547,0.482580709157492,-0.107482185273162,0.531003791004903,0.297734867284395,-0.0327643053757188,0.0306474323228611,0.108060117138932,-0.45309710008157,-0.210064364857353,-0.0279595203891533,0.105185325195286,0.35968859639565,-0.482717188052767,-0.0840078108759328,-0.24912033898478,-0.572512331857124,0.191800581217903,-0.245422101823112,0.147167907515004
"IFN_Ayers",-0.274965603611581,-0.659841786303278,0.25236581882368,0.730683869144134,0.597822393037757,0.647782839287643,-0.0708917977829688,-0.454884331125115,0.425418185888574,-0.338833971450505,-1.2834680992781,-0.0517225575571699,0.599953506775049,0.111959589146905,-0.253292295707079,0.15870594234715,1.313897035756,0.0495223728988639,-0.653895411987076,-0.817523754407271,0.453466647896372,1.10033784925632,0.0904319889451597,-0.407831736386851,-2.27244413247563,1.02467495692663,-2.19862882790522,-1.93778305436132,-0.147044264918579,-0.339780519280019,1.27163133827081,-0.0880012163813266,-0.093951702822302,0.554451890476625,-0.97650198866651,0.525960486926785,1.38602147966118,-0.0268905608605267,1.35772087706943,-0.0135308912716328,0.426451258869963,0.282448177135014
"IMS_Cui",0.578001371895741,0.19128032825115,0.165365436637689,0.340447067019084,-0.140228558632864,0.342104001666464,-0.357970425602792,-0.275674960296448,0.137692951287179,0.238450929237838,-0.460505797725517,0.0715886191994043,0.405190311418699,0.111692340007393,-0.0414152244417712,0.227568242752138,-0.208565016071895,-0.448743693753083,-0.196369096369091,-0.159512370231628,0.119349652945334,0.479540049066431,0.265025403655119,0.359443106412128,-0.141627400005424,0.54918195328812,-0.492553464545009,-0.458482435894298,0.354040173492719,0.106716257343455,-0.426589390019792,-0.197860962566836,-0.285711543290529,0.313275049320746,0.10096849561388,-0.28084269170933,0.440630120033,-0.403589673154606,-0.590092318901041,-0.219406760983593,0.290426795033458,0.00831847890671271
"Inflammatory_Thompson",-0.163082437275981,-0.601183663470225,0.220721068677131,0.532648376333011,0.582403432138252,0.198341696535244,0.197959907455112,0.302995808669863,0.114097968936682,-0.362040078254802,-0.666038023301546,0.656098747938492,0.0893806484854246,-0.254748868757012,0.174709387375858,-0.433663868883215,0.735207094833458,0.226314456344685,-0.668167669339292,-0.413927216213475,-0.120931986849101,0.706784663234387,-0.242716503640263,-0.614458876252692,-0.576684129066719,0.382485629047511,-0.656993933228384,-0.762025562223343,-0.49228636716896,-0.364114206936657,0.815809899529315,-0.230138003368625,-0.0880991825773242,0.305617929120479,-0.576177795566753,0.509509471474445,0.726898409953378,-0.301197876126769,0.802270011947425,0.00776583034647987,0.0418615460691227,0.172055389865886
"IPRES_Hugo",0.377265265718094,0.330354088742949,0.113872423165836,0.0608452875509598,-0.0605264670578652,0.245570369694628,-0.00721363937490201,0.0862435366537356,0.181768263560809,0.381184005495968,0.170710517146427,0.014659485013314,0.275279600309271,0.189215403604912,0.028657741785018,0.15176928522044,-0.057603290248827,0.0445158455923073,0.160694316030688,0.21321335369128,0.116613447089293,0.0314877291602233,0.229587771590983,0.366909713193335,0.214399720254069,0.302850290605169,0.101995376801321,0.189150025074694,0.35905893228521,0.131545087276668,-0.0900750691947242,0.0365728211953861,0.06054777007086,0.128392158036072,0.262468094013341,-0.031601812579001,0.18031425339857,0.1523460629281,-0.0715796671291912,0.0390610123427789,0.273606461348458,0.0195457546343571
"IPS_Charoentong",-2.57046313897628,0.212458773400375,-0.246898990007618,0.209676706260559,1.37875578938629,-0.907321343939309,-0.489394469299292,-0.121676846967859,-0.0190273805354234,-0.263220244648759,-0.585079505521629,-0.355247409763417,-0.0959980186799102,-1.4349316564724,1.52330467673051,-0.386404788493635,0.343839373879207,1.3060517698321,0.423506166074522,1.2359616577268,-0.997890905170702,-1.03861458018259,-1.12555142431067,-0.544610412404,-0.604978934495898,-1.09327653857976,0.859964194293746,2.17508872403681,-1.39227864784273,0.224505605300652,1.64721249390734,0.257974744630086,0.688498942058454,-0.38018497133784,-0.537023223168012,1.75757587544217,-1.09612542058938,0.839537481348264,-0.363019350812049,0.969276077291639,0.114603943493739,0.481425207105874
"IPSOV_Shen",-0.097487740351973,0.145422545050589,0.115174491373098,0.130235128960661,0.126867966230185,0.240913846772578,0.271664551168349,0.170164686491909,0.148848371573179,0.0268060950881115,0.0495393924538974,0.159641880471435,0.0995802987264366,0.189123287177533,-0.0112777253767522,0.138322086828127,0.118155506574604,0.195141618947411,0.155165774959768,0.0881769596747432,0.108837732327653,0.194541485280212,0.0462236232471627,0.217742384484953,-0.123641355609658,0.06876683090848,0.0227297348393043,-0.0579882458166154,0.0213638425014846,0.0893976172007843,0.121760480375401,0.17367990599528,0.22693437388279,0.177058279010413,0.062372291641552,0.071701799275717,0.0871108070334541,0.00523493245089906,0.172381837269631,0.122597975317318,-0.0183813265580156,0.17916068267741
"IRG_Ayers",0.461682174634232,-0.434974290195284,0.171363018106865,0.902089422088665,0.434347775250668,0.46661719007152,-0.390404564423135,-0.682833421424216,0.0919107574314097,0.00828287849157267,-1.52631573710306,-0.255007445362452,0.628681704237127,-0.0084440132012172,-0.0260448465079256,0.192131389147686,0.997055722918112,0.331983817949367,-0.553972666177953,-0.905962198938919,0.144430445405235,1.01770205807634,0.547582103637134,-0.0730490209225312,-2.66599768049486,0.94678014200604,-2.08371202464951,-1.62262316140774,-0.157457294566218,-0.052205246245723,1.23494051936781,-0.249812024947873,0.0826428979443879,0.359727489935479,-0.717946876082299,0.511690398038879,1.34660198602647,-0.177577311547665,1.1385798783711,0.0384303095706446,0.272723624531732,0.256362120960108
"M1_Hwang",0.0269483415767201,-0.0354226619612559,-0.00630780626319109,0.583273922214621,0.357551179867492,0.201908187422784,0.0173358043650887,-0.0773368254057389,-0.296635890514079,0.111422713149424,-0.309589600991064,0.115480390312781,0.189656014221609,-0.103182157216406,0.333897385397056,-0.177907430310465,0.381736425420724,0.185629132283834,-0.174835432060316,-0.111354592387296,-0.217204781317995,0.176275125117877,0.0370296509281339,-0.184675917752272,-0.0305705959855161,0.162478365249466,-0.321885599874437,-0.125076701134826,0.0546276980361719,0.00611192118387651,0.678114400125563,-0.217609528229922,0.120921883541091,-0.263799621743066,0.0275276713585556,0.170601725517767,0.532511666240174,0.161666910807784,0.452000506579306,0.0699146481691187,0.119473517846386,0.285533522257036
"MHC-I_Liu",0.00686016055271394,-0.174703866902177,0.238989074845887,0.125893268975512,0.369015205349046,-0.249157853823178,-0.367938415146697,-0.143506178121712,-0.182636380213229,-0.195329346651894,-0.390704772345279,-0.00513200469824738,-0.067677840224679,-0.448929309896556,0.41183297918713,-0.0453348709767247,0.551070690103444,-0.197353731738719,-0.099865821109822,0.0801401511864312,-0.232097100318753,0.20835401056035,-0.229815432895011,-0.443218559351567,0.0114271507899371,-0.108214105590036,-0.234737717982914,0.0856603404509287,-0.431750697914053,0.439715435538792,0.539710474612073,-0.362141414040208,0.281091151700823,-0.189249802181238,-0.270905818345575,0.46877352917033,0.400184641440117,0.300566619060713,0.500996447598031,-0.22622227257831,-0.0865746161637799,0.234993050223209
"MHC-II_Liu",0.0297824786595213,0.110578357960329,0.0077142085110541,0.291439362827637,0.415942172606279,0.0898692206924092,0.034173251146579,0.112589083072982,0.0549114272355948,-0.16489511163693,-0.454604993890549,0.244706455457241,0.204408598607133,-0.276391086872506,-0.0909640896567439,0.30945255885834,0.545395006109451,0.259417513538192,-0.260339240771784,-0.331468125055777,-0.163998917162579,0.236493461060897,-0.0461637646220432,-0.0373430888469063,-0.101036301309077,0.187651894258994,-0.334066470670099,-0.436591046629479,0.0622767598874407,-0.210463632578942,0.350186167289658,0.0126612992974813,-0.0920137819179957,0.312003016328122,-0.102014576602008,0.163034092937401,0.328342359356226,-0.0727800895363376,0.385823821005385,-0.0578761536586358,0.170191083451046,-0.129153239770071
"PassON_Du",0.098424516645777,0.0962133516678225,0.188793479007374,0.137465334163559,0.472001245763749,0.121926401167031,0.130056180671565,0.0594167187400046,0.0539212859470418,-0.141303822243816,-0.0670649892172888,0.171582279210218,0.23960493199618,-0.0153408270564845,0.187735975698954,0.147846891665591,0.401830088387771,0.305935446366689,0.0093233134899436,-0.120762800199033,0.103177542108016,0.214896788560982,0.200211759441641,-0.0936947467978227,0.174950969214065,0.0543730990621375,0.105879676723686,-0.0303981071522271,-0.0493868997336247,0.0567558582539848,0.401248134089065,0.209436935123431,0.310094044508396,0.0791160324682653,0.0157815437405958,0.346893116654556,0.13708882385192,0.12263839547988,0.276365020143793,0.148681952097885,-0.115636102768152,0.217303603809968
"PDL1_Nishino",-0.0872127283441261,-0.251005946833179,0.38008249852681,0.728344136711845,0.570418385385977,0.0529840868054328,0.038302887448443,0.494348054905104,0.0423189067856124,-0.393844340691686,-0.809216331776716,0.574708061374588,-0.143193871538006,-0.26525958210717,0.592858892282763,-0.0483205657041773,0.76428992339423,-0.243417208060672,-0.740484072238163,-0.584560989982286,-0.322333529758372,0.817913965822039,-0.433039493402804,-0.483912077301519,-0.733024603477184,0.55037953908909,-0.562569831222255,-0.766057748968726,-0.418385385975221,-0.454462713230217,0.729522687094878,-0.616171634506208,-0.481300292743321,-0.0182675309369453,-0.536870504676362,0.308559611889014,0.923394225103126,-0.028285209192688,0.908662345315265,-0.0901591043016981,-0.285150138174846,0.400750748567653
"PredictIO_Bareche",-0.16234667467877,-0.822220177298542,0.703382071598629,0.628714994467387,0.360345688997566,0.238034838888932,0.263299071648075,0.182335547935874,0.434374608666232,-0.229737838227072,-0.722305748332849,0.527577095630777,0.312998044591489,-0.494542334240057,-0.148638003648151,-0.243202426172197,0.919353453589341,0.724180436295729,-0.324292916471399,-0.912479188253199,-0.04238785412593,1.10268769960231,0.274081245226997,-0.580815074661877,-0.509448275224328,0.166051690155224,-0.847366965921454,-0.977995363117186,-0.704585641796596,-0.164687944408547,0.989779396043321,0.0295208498368316,0.141892213567202,0.390758399918507,-1.00613963630272,0.297158435330089,1.02971218772262,-0.754134748266585,1.11477282385467,0.106189866516031,0.069194939470677,0.129205063906768
"Teff_McDermott",-0.259319216818589,-0.601915192322434,0.490855457227145,0.513487821941427,0.499633028958635,0.251917404129805,0.44078034884536,0.594342939813889,0.395397593811147,-0.543301833814185,-0.646114446689207,0.691445427728618,-0.230088495575198,0.0997050147492733,0.465496135734135,-0.575512409724306,0.89439528023599,-0.213569321533901,-0.556253483408746,-0.571287210577605,-0.231858407079623,0.788542616058567,-0.551863482094677,-0.682613765593482,-0.602414985387321,0.292542790525151,-0.493466622965115,-0.761135771641017,-0.665486725663684,-0.601081329829954,0.851917404129796,-0.578277862857156,-0.241382216603437,0.0851401179941106,-0.727012966071919,0.637168141592924,0.792920353982303,-0.317589024854949,0.919174041297936,-0.109734513274317,-0.255945547317206,0.468861384516987
"Teff-IFNG_Fehrenbacher",-0.342712833033701,-0.677277639484786,0.42480966402165,0.43649308011827,0.579961669994726,0.398345153664308,0.494306177631265,0.629432624113478,0.428217271962811,-0.560092898620578,-0.544354655391877,0.678786206820409,0.0691489361702163,0.0496453900709244,-0.102836879432614,-0.602347864239454,0.832742316784868,-0.121645111945487,-0.626621875596744,-0.475426883800219,-0.045602460135817,0.729960775980374,-0.372572533849083,-0.692250261146837,-0.617617092060601,0.435878827862998,-0.664939327770683,-0.748633274231683,-0.617844478216816,-0.64942510988275,0.835697399527187,0.091525171283884,0.0774231678487057,0.287056845635561,-0.699615839243501,0.719678675542791,0.657872849041326,-0.474676923541702,0.884160756501179,0.148541739126051,0.185579196217495,0.262458051762984
"TIS_Damotte",-0.0338479809976273,-0.644994597959031,0.246985928021878,0.505298357700442,0.559978690751983,0.138398755646101,0.0325940045775403,0.257537929570729,0.154394299287409,-0.606903292405233,-0.67278359004803,0.63986553338361,0.163013450497991,-0.216220467641104,0.418084243985672,-0.377462516894094,0.784899111157148,-0.00296990235932273,-0.525899960796043,-0.588998481151837,-0.241160885073903,0.663519404666073,-0.216338328545801,-0.620087658384194,-0.672185774191543,0.326023287876018,-0.526391820261688,-0.746488076728839,-0.473434307554951,-0.239643540378706,0.738856630305567,-0.245733098976614,0.0248483699163321,0.346102691956945,-0.539852786678375,0.582513933683288,0.781472684085522,-0.23476357831169,0.825025514592536,0.00771971496436827,0.0374109263657932,0.182731820317516
"TUMOR-VASCULATURE-UP_Lu",0.244351422593675,0.339754344575055,-0.034799668644775,-0.00511304404622583,-0.373076985177331,0.0540904390787154,-0.341244985717555,-0.203573055215796,-0.044638937709551,0.171295303415055,0.218387626952529,0.034236974977717,0.189913977474882,0.228722514330387,-0.187576298275339,-0.108412871913827,-0.0500879156578714,-0.452103188671215,0.0364323397207686,0.0849153987944165,-0.0785904609566404,-0.20810199281517,-0.181221296101385,0.372997904854086,0.0927173959495554,0.205358237674204,-0.166928722642876,0.0841814116159156,0.292294168536102,0.142973655549926,-0.151132168269402,-0.133889047412613,-0.464794423639943,0.0487348095144334,0.300394817629992,-0.337574239749778,0.107658862467779,0.167967325199712,-0.180870880770813,0.046622842367559,0.10828760004921,0.00299577759471653
"VIGex_Hernando-Calvo",-0.479005772525906,-0.623366196760847,0.53729213757089,0.583294491208563,0.666005550438034,0.0748382977425915,0.248258783891311,0.400552624182974,0.170283602926079,-0.177871992899045,-0.51244668953749,0.693901716992315,-0.0378922439313271,-0.0138408812433689,0.232311113858861,-0.38791015501624,0.716172833017748,0.0771723010454308,-0.609340629951147,-0.162963312242391,0.0325636471284724,0.767910005920673,-0.565019826634615,-0.651634306840783,-0.574468384987267,0.344038771904789,-0.708615387933953,-0.710479573712217,-0.586389679717436,-0.630910712701488,0.833629366489047,-0.0810615485290658,0.00362584548862838,0.393235755959651,-0.643049566378986,0.463047883266446,0.671412295663908,-0.468053580448035,0.834850537085414,0.0746003552397813,0.116994827238997,0.237246513554363
