"","Pt1","Pt2","Pt4","Pt5","Pt6","Pt7","Pt8","Pt9","Pt10","Pt12","Pt13","Pt14","Pt15","Pt16","Pt19","Pt20","Pt22","Pt23","Pt25","Pt27","Pt28","Pt29","Pt31","Pt32","Pt35","Pt37","Pt38"
"CCL5-CXCL9_Dangaj",0.0154447932372653,0.416716006814657,-0.0285486523767147,-0.5554339104168,-0.63989473618848,-0.415564791870137,-0.264238127928515,0.151650526636313,-0.717478038328597,-0.526383863380515,0.604441266559472,-0.330638158138867,0.195099726726213,-0.489767832388564,-0.0318362706083023,0.811787539601455,0.566030031801336,0.440346800387624,0.552394973333304,0.630997529955689,-0.427043957399104,0.594431324676076,-0.418058301385591,-0.466658729062157,-0.186053138358092,0.0644791916312375,0.789653212052298
"Chemokine_Messina",-0.130142959872854,0.395088380872966,0.145526613816526,-0.600759037909115,-0.811438278595649,-0.152321630804091,0.332301275563221,0.116958658013164,-0.62834931782543,-0.646160791568205,0.198086660909088,0.369684891518919,0.251851256790769,-0.0309191407132037,0.0764439411098441,0.793615604084389,0.399407915882837,0.687998067968793,0.53727510175473,0.478429267812288,-0.213388943431902,0.244668253586496,0.0656851642129051,-0.531673571982285,-0.322574041428306,-0.0495604142386017,0.431885919638076
"COX-IS_Bonavita",0.175370226413018,0.13614377588416,-0.340401979645462,0.402180883205583,0.281627948069137,-0.0149457393589614,1.02242484607213,0.0862206281391235,-1.94949669686231,-0.324633136938627,0.333531251237437,0.588106743249887,0.0791640042639507,3.2144416104404,-2.35936566934848,0.0221369752277297,0.21382999431293,0.204428747586073,-0.354564274430118,0.0142266215753795,-1.9112561453614,0.0216449732104328,0.28181737340885,0.378009425136865,-0.00214546217129386,-0.384651350096672,0.186154426780233
"CYT_Davoli",0.237448158326291,-0.0503109101187065,0.173544375353315,-0.743357829282024,-0.724137931034432,-0.322372474578288,-0.45305907880022,0.553985302430759,-0.953080836630799,-0.762577727529622,0.484912980768236,-0.485397501380527,0.365178066704355,-0.674126628136356,0.353306953080848,0.951384963256079,0.0407009609949208,0.224420576596957,0.847371396269083,0.373681650456356,-0.254643629969884,0.464922641116405,0.221577040705888,-0.521198417184807,0.0989259468626337,0.610614567936085,0.782928208027136
"CYT_Rooney",-0.134723788049598,-0.254085682074396,0.0958286358511929,-0.87204058624583,-0.67981961668549,-0.161781285231119,-0.435738444193922,0.437993235625709,-0.926155580608859,-0.54058624577229,0.330890642615564,-0.307779030439693,0.233370913190537,-0.721763861842816,0.179819616685465,0.99098083427283,-0.0298759864712433,0.719521764905439,0.896843291995491,0.482118404047625,-0.58117249154456,0.676472614839694,0.286620097118146,-0.414392133917481,0.00901916572717815,0.60033821871477,0.605975197294252
"EMT_Thompson",-0.208068868189895,0.370764863721698,-0.348636340641405,-0.576954052288035,-0.24429294669625,-0.253245699918826,0.212094385304313,0.578594409833807,-0.158871716318867,0.0627822459815883,0.138173771360208,0.40530199301639,-0.021708145369998,-0.144473797438173,-0.806467088531977,-0.01048888087837,-0.196442898029554,0.0568178992361138,-0.237385739266077,-0.137065170913982,0.789387784185473,0.859572049122556,-0.231170450857044,0.074772796989159,-0.443368129797556,-0.203779095768001,0.674156822152702
"EMTstroma_Wang",0.430887346422874,-0.542946390304307,-0.602102136979032,0.213793596340763,0.0452085533262977,0.230810660780009,0.22544908558843,-0.00150321431067343,0.46276894039895,0.627696541942458,0.432596972782821,0.247201392608462,-0.132598217914089,-0.16789221659905,0.491209513932837,-0.393559208319328,0.348799336103503,0.212949007899522,-0.341478876525052,0.063096621256048,-0.544699472181769,-0.498400779548317,0.462744087654593,0.543558662229552,-0.202848145429738,-0.151649245581581,-0.646405124464322
"IFN_Ayers",0.513566008848478,0.574674120643214,-0.0356024435272454,-1.9002587733423,-1.03174465992458,-0.38099140650729,-0.246938004154132,0.434682972588726,-1.45231185670186,-1.39471665808062,0.981429611852135,0.455179880992598,0.290509733973523,-0.416407559190374,-0.887085190767078,1.58033875051541,0.683430597655118,0.694429346657911,0.261446963266419,1.26105188378767,-1.02171090404364,0.742589394265166,-0.583239314228682,-0.251232948803131,0.414889332848334,-0.441476881893681,1.15549800326991
"IMS_Cui",0.390072173853178,-0.513223288112654,-0.523951036369651,-0.526440627556584,-0.219246152828307,-0.229233790871528,0.410336110061051,-0.309859344632922,0.222684245452888,0.421123713647747,0.394889900676406,0.60839472204928,-0.101366530249047,0.443337221656957,-0.0433608877825259,0.210739177867588,0.591344860208435,0.490407544912501,-0.11801359332173,-0.190610728913181,-0.471208290059879,0.238910379247623,0.426712070537789,0.403296038214254,-0.38505472029155,-0.527916437346725,-0.50939966032374
"Inflammatory_Thompson",-0.229861079497757,0.23862070797636,0.143130761803121,-0.691282369397286,-0.603424579146962,-0.388246913580243,-0.417805814345025,0.222134316950786,-0.680508848422661,-0.681568563241888,0.5477035174506,-0.319365007960035,0.343737687578505,-0.43319790192322,0.152359865180191,0.860779810141239,0.292893360160969,0.391948287007111,0.63009341035935,0.62895430495431,-0.238527667415211,0.462668668614023,-0.35854822629083,-0.558511664689581,0.0257142857142861,0.342286511813379,0.708144239866099
"IPRES_Hugo",0.285935380632611,0.00715826842443041,0.10605681822067,0.0766599249674218,0.162683549508274,0.199503684346438,0.275987694718127,0.0420447031634298,0.366728439969926,0.265555895368374,0.326924979623197,0.376431900715472,-0.0296004952756633,0.248850307361464,0.264140604076835,-0.0964981417535177,0.329831635843244,0.206511532126867,0.0191808887555797,0.0835141189396445,0.204832649099915,-0.0124428855681443,0.315359845278441,0.336231228642057,0.0877163714835284,-0.0501914233782606,-0.0500976230483715
"IPS_Charoentong",0.227919959205046,0.548052348064032,-1.10723666265721,2.6112821192353,-0.0164077560509058,-0.218973574723163,0.121102539609398,1.72243933451741,-1.33090667214759,-0.363266290673933,-0.881288231063026,-1.88438149423954,0.593216302123941,-2.08871383765956,-0.350845384890267,0.492414943174087,0.164734641036908,-0.230302895652876,0.519634706211369,0.155343494907781,0.115725519307723,0.372044101331689,-0.182738952724778,-1.03256102670078,0.366233198885499,1.05714206727889,0.620337504294566
"IPSOV_Shen",0.116665924813147,0.115372613255028,0.104428219092655,0.143755106758125,0.0855407218361842,0.0964082047917603,0.143014999759323,0.115967200845956,0.0804530265672015,0.126367129984014,0.0492298140748247,0.0472860668168939,0.0530007580484205,0.194889346509784,0.0758493773285192,0.163588856706168,-0.0402202042377182,-0.0381775790752498,0.0526110893287539,0.100779935235128,0.134233638869131,0.103731027920708,0.0113649461638179,0.150902856406345,0.0649760957630025,0.144724500375751,0.221734747343167
"IRG_Ayers",0.586583784263755,0.268760907372797,-0.164526406357255,-1.81512117227447,-1.24299171291449,-0.667813169057104,-0.408184842340618,0.385925718428213,-1.4292196295079,-1.22303467938277,1.05345010521389,0.0982512345734746,0.122238953664222,-0.396234979309766,-0.706289531279961,1.71729130802582,0.573874845770192,0.460222821046942,0.548372070908564,0.843733209005581,-0.508171815430121,0.645699374313938,-0.281242731670293,-0.324550432388067,0.188550836449074,-0.0156623205284688,1.69008825340483
"M1_Hwang",0.0840837476677423,0.109083173243266,-0.0335347518140468,-0.0108666611685055,0.0625729713808458,-0.257751629778049,-0.098263828669942,-0.081158969542301,-0.288432440416101,-0.392891693533035,0.189184641228522,-0.0439778045729818,0.171198690071614,-0.0332150938560423,-0.149316327701365,0.498480798411426,0.0837620601708923,0.139299492318301,0.083637389134767,0.301845708127544,0.058805291274401,0.138723286375775,0.0199599556251062,0.0854280872594082,-0.0574971364468218,0.2305266400771,0.607108306466965
"MHC-I_Liu",-0.0568164546683974,0.305921008336659,-0.215151111702225,0.307344427927122,-0.0314630405628412,-0.230227751219586,0.110666034398856,0.186754939181227,-0.408846655085608,-0.320286451875222,0.0707704191095622,-0.182561556744112,0.21148172056851,-0.401169388505751,-0.0507014678516226,0.515769290424686,-0.0701866877579302,0.176301594757895,0.349068769923383,0.384804156760648,-0.106234418227503,0.0957832543698082,-0.0310524202567432,-0.484230709575314,0.125733070985236,0.344266451955405,0.147583285786177
"MHC-II_Liu",0.128866846875512,0.295597569674135,0.0672726052661192,-0.130001102831153,0.0361936192861214,-0.266659981488137,-0.137260591618192,0.0667022605789608,-0.529232177272721,-0.302125901223495,0.376667497485146,-0.322572016501161,0.127574223791683,-0.354475355883202,0.22745887508971,0.470767822727279,0.176168839304826,0.328709594174234,0.255499309830007,0.354942004981338,-0.0440935611710737,0.385526833078112,-0.307368435460354,-0.293748699154087,-0.150784568988239,0.0623217911674706,0.427022928590168
"PassON_Du",0.0412989423007737,0.496432341152073,0.108223719299959,0.0736910184462927,0.0832573186547348,0.0120744417619109,-0.113733807720451,0.227441016945109,-0.228895334762751,-0.186322074709099,0.122836145925687,-0.215416098943238,0.143010120861234,-0.160639273920963,0.0921879657922814,0.34364194080682,0.0215564935591125,-0.0184447380818401,0.173990173256296,0.189722956041666,0.127543595266131,0.213638085487835,-0.120279576368071,-0.151759420680787,0.0559155213911286,0.214055720364688,0.272246594785861
"PDL1_Nishino",-0.441307744946838,0.463531516813505,0.393119007332202,-0.582090603675213,-0.638182966723024,-0.56232374506484,-0.101522842639602,-0.151720248166957,-0.83530738860682,-0.766497461928882,0.452624566105298,0.776269665185267,0.160039074754034,-0.396986450504317,-0.107263376255896,0.857304004512128,0.0682459108854964,0.545293244509842,0.559503666102654,0.683587140439938,0.649712938783096,0.799371859590492,-0.621545403271274,-0.641849971799176,0.343256604473513,0.214547344534946,0.62098339037584
"PredictIO_Bareche",0.151191048900897,0.139160524490814,-0.0543417470529968,-0.401255595437314,-0.516219744777563,-0.346598797837105,-0.512420664511343,-0.113641214820518,-0.900669303409452,-0.92873973136639,-0.0521014345284131,-0.668644489651487,0.528733376713069,-0.277126602118969,-0.157429524308384,1.16855148301503,0.18263141307198,0.300281352672222,0.514930358000732,0.882851394609345,-0.43485420923099,0.430786616547442,0.0272462744306426,-1.01268540163871,0.544596299467266,0.8235332821319,1.12597141597439
"Teff_McDermott",-0.16080971625671,0.234513846610035,0.229813664596279,-0.397919396919548,-0.488424618859374,0.385175933275899,-0.130999435347258,0.220247979445301,-0.883681535855407,-0.816487859966079,0.423358579813297,0.108505411499577,0.0261654570244158,-0.73176447221603,0.325228684359117,0.877470355731229,-0.0107284020327468,0.329515046315115,0.591539160733232,0.522840515155773,-0.387858593383213,0.523488758638792,-0.144408237126936,-0.743083003952531,0.37210615471485,0.495303186432191,0.576510446075667
"Teff-IFNG_Fehrenbacher",-0.0466209214480816,0.155696273041158,0.279612078465949,-0.607552747793971,-0.617969904146763,0.0641608947706036,-0.258731650348885,0.49660633484163,-0.847850678733025,-0.713883915492035,0.401346971895463,-0.135901849906804,0.34162895927602,-0.695991479312624,0.108031674208147,0.929298642533937,0.363908520775454,0.391454959367912,0.614819004524888,0.745444120746297,-0.560143685736878,0.474154288418145,-0.325705983522423,-0.626841861004751,0.335515623604356,0.40214932126697,0.676187436823745
"TIS_Damotte",-0.000257746639324485,0.460565845973402,0.269264201762979,-0.535992578849727,-0.73910015300271,-0.411624917053743,-0.122727272727268,0.0631558216480207,-0.812853315086759,-0.746709390497827,0.597675998188736,-0.0478198295713106,0.295149133321043,-0.575798368298382,0.0735093754092872,0.844060488441218,0.437520329125092,0.241108675144995,0.689344367017865,0.64135583803951,-0.375384548911157,0.515341880757114,-0.431249999999984,-0.492901917622904,0.067613636363639,0.437551984532328,0.678528009717655
"TUMOR-VASCULATURE-UP_Lu",-0.199532661816594,-0.374401417668656,-0.35286815070371,-0.0632084443232663,-0.157351508360837,0.171831379180733,0.275149043068754,-0.345165956138022,0.296843933222416,0.155152526612201,0.191959764151314,0.308128972789302,0.178390449587817,0.11928993174048,0.0980894298254256,-0.14242878426248,0.146745193262174,0.0576878663808935,0.242299419712248,-0.0263652625435925,0.227440444971403,-0.0170433296030805,0.309404391218532,0.169938540321836,-0.205452085105577,-0.228995217406258,-0.404276336091059
"VIGex_Hernando-Calvo",-0.228141627732928,0.081023791206312,-0.169823256322153,-0.712396174262193,-0.537817776459639,0.00169971671388683,-0.524943834662116,0.25529571198849,-0.687805260388081,-0.60198642358633,0.376911932951758,0.00417210006445617,0.259534270493699,-0.408057600563757,0.332476955030608,0.77917817079818,0.1801172999418,0.506328419774944,0.628943937698528,0.652997636692886,-0.116283268461871,0.375690388144839,-0.0876666482622631,-0.526773698636436,0.081215368187747,0.25103864164973,0.650768206509718
