"","PD_005T","PD_007T","PD_010T","PD_011T","PD_012T","PD_013T","PD_014T","PD_015T","PD_018T","PD_019T","PD_020T","PD_021T","PD_022T","PD_023T","PD_024T","PD_025T","PD_026T","RCC_102","RCC_105","RCC_106","RCC_115","RCC_117","RCC_14","RCC_18","RCC_21","RCC_27","RCC_41","RCC_50","RCC_73","RCC_90","RCC_93","RCC_96","RCC_99"
"CCL5-CXCL9_Dangaj",-0.327731580926891,-0.461343837487548,-0.00882108201182077,0.515791508416595,-0.484472720379369,-0.0566791689074629,-0.0982100982270752,-0.510444011997701,0.388740789837558,-0.450790280841976,0.674414875073128,-0.108910882865725,-0.240384757260948,-0.356844179938619,0.725657069559643,-0.135370602319302,-0.714491618154147,-0.42927945349596,-0.578033919421882,-0.418288852395665,0.0248033877797945,0.602290399215993,0.65010200206107,-0.357940326878065,-0.233225743403603,-0.460209732669612,0.8008996248227,0.708930126872463,-0.783856558562863,0.233735723137905,0.516915063994938,-0.354682403035367,0.450277450744443
"Chemokine_Messina",-0.576448608351728,-0.60812464162478,0.0149151280239831,-0.417271967450983,-0.163424915171497,-0.040292447322328,-0.659532808711049,-0.778462735258138,-0.782264945802785,-0.462299416004638,0.590950125287479,-0.323555006218562,-0.489950633479493,-0.800400755163814,0.135407519910152,-0.688474341520211,-0.817986985027059,0.0981927710843424,-0.560153032802118,0.0174708229944046,-0.11499350429784,0.500263153219146,0.662048192771087,-0.0445783132530115,0.486963175744709,0.166883669130304,0.657615716983898,0.721600173147676,-0.566341400521838,0.709638554216877,0.677579197711778,-0.300156389863485,0.636479508320428
"COX-IS_Bonavita",0.422654489970104,0.302934983453028,0.132437405600301,0.108228636749708,0.345498838863982,0.432047531887093,0.273898765678155,-5.49425669852265,0.0953698497538131,0.511693502512396,0.119441224546533,0.189838273782211,0.292536653727657,0.442171619717358,0.111077249787994,0.402038892964128,-0.0128358267458698,0.0794700363098721,-0.0370252193972854,0.210648265653527,0.211716019696127,0.0983991821426087,0.120700578067349,0.106162289468125,0.121154305659658,-0.302201472587578,0.0585810856703309,0.0134096711658861,0.0167004206345209,0.240883066340191,0.06660397154833,0.159844681433942,0.160177724468451
"CYT_Davoli",-0.607287900871386,-0.608538785327742,0.491609762610158,0.405367869162535,-0.719783523752298,-0.529080994316538,-0.121467227901374,-0.72519542994592,0.143740887486722,-0.567648827420349,0.589083565730108,-0.0583283223090693,-0.218680498742693,-0.549221350847745,0.693035329646056,-0.630334670158671,-0.88995790739633,0.610767577965041,-0.776551870783263,-0.190601983322838,-0.158147925435948,0.805772699939866,0.7306073361395,0.123020055887662,-0.579783714122911,-0.659912778088745,0.832230907997589,0.926638604930842,-0.647579872718136,0.329032915201272,0.354780517137705,-0.082982561635591,0.532572344088498
"CYT_Rooney",-0.722609971724103,-0.607314148681046,0.282424907531605,0.38129496402878,-0.648681055155866,-0.33812949640287,-0.272720141643687,-0.942446043165457,-0.0293764988009539,-0.51112809941799,0.724820143884893,-0.156474820143879,-0.028776978417261,-0.605515587529967,0.646282973621104,-0.612793588658476,-0.955635491606704,0.486211031175062,-0.808153477218215,-0.217625899280569,-0.584341798084702,0.810551558752998,0.772781774580336,-0.0989208633093468,-0.184052757793759,-0.898742171311484,0.899880095923262,0.99220623501199,-0.543764988009584,0.487949984180915,0.297362110311754,-0.429662532205147,0.588729016786572
"EMT_Thompson",0.0719210570022186,-0.383284249168603,-0.0370929887591481,0.27064283465191,-0.0759891300671772,-0.211987237158667,-0.0577632351649845,0.263323094233401,0.168013348136695,-0.311654180319805,-0.0514511394742636,0.250743239606074,0.0539155182726,-0.249236170132842,0.0284223870025978,-0.133217942676769,0.30791223510013,-0.0229247606691179,0.131813147546308,-0.265552673398856,0.506166674338477,0.257347297719594,0.730075389215834,-0.371282649647972,-0.0555746951897903,-0.597649954248733,0.050393830952263,-0.000241410427566662,-0.108768424731952,0.353756121363483,-0.575960706037106,-0.504987063043762,0.570172435175533
"EMTstroma_Wang",0.289243968445905,0.599413663500728,0.286700813619553,-0.206404553504037,0.202233183012664,0.650382117969405,0.402596292759886,0.347673182707126,-0.262791108528713,0.566032285703218,-0.397512440703153,-0.135778873515566,0.370469702246149,0.485993778108096,-0.240586984343389,0.586933790847824,-0.275432882466518,-0.118215352780911,-0.152842718461762,-0.00561906992771294,-0.523374202471899,-0.668134180622251,-0.593105112380008,-0.10387586946156,0.385336764371121,0.472172601091394,-0.556345510807116,-0.166210555884671,0.253638473905052,-0.260464391182026,0.29913124085741,0.344058223352887,-0.559993035779442
"IFN_Ayers",-0.430360315562728,-0.414241428220738,-0.456892764980247,0.398943001074563,0.0333924132349225,-0.451616014197602,-0.532664130195773,-0.506417386715997,0.096759255685678,-0.83823018940109,0.541438406798212,0.455710817944412,-0.603580939495117,-0.550964924801579,0.641001090057695,-0.257294992427364,-1.44161074636738,-0.192140837737743,-1.19491279347128,-0.184500701522189,0.0906015185015897,1.40679584075669,0.872922797570657,-0.582231647710461,0.790206038023201,0.104867541237811,1.58726088583521,1.29711193604757,-1.17119124287279,0.243574422601941,1.29859703003239,-0.265574942715671,0.215243002993213
"IMS_Cui",-0.268212955379462,0.266380564762509,-0.118572292800972,-0.504475181251558,-0.070229614179559,0.369983295683712,0.040186781988616,-0.177934957201469,-0.288835310007174,0.374271466769131,-0.135613688294985,-0.499105924648758,0.0643893395831123,0.159816313405642,-0.367078435192325,0.298071252867791,-0.412211687626216,0.077206470588484,-0.326958391641084,0.452988199675128,-0.105844736318211,-0.450210374920921,0.0126703448327807,-0.22183066129669,0.689512045207852,0.545805911504643,-0.200570153246843,-0.0887821335356866,0.294302650979701,0.348349799812006,0.360032126550106,0.257807722657314,-0.35734655370335
"Inflammatory_Thompson",-0.349434974202886,-0.551949798649504,0.267387692125093,0.339396266903826,-0.387211214390179,-0.346406103081611,-0.319771455902852,-0.674101167331737,0.0724382784937791,-0.502890953328957,0.748471179124185,0.0699513381995144,-0.376570427351678,-0.523465158477838,0.632017405799421,-0.516028981664861,-0.692053757314556,0.0893822952506524,-0.672752815647231,-0.435435778581152,-0.168910299212529,0.717962823815655,0.674710459513557,-0.150613784457981,0.113267728115504,-0.516401393252295,0.739784517135761,0.734691142234741,-0.649061105350176,0.407528320562706,0.344287389656681,-0.458639683499084,0.464013985156104
"IPRES_Hugo",0.117669806548284,0.335945338521722,0.218087065644154,0.0411073262125808,0.280447937492981,0.417142741017487,0.265434131972624,0.218310202479609,0.0845935120785046,0.339104343069214,-0.0560809103590293,0.095327200753914,0.349061997254974,0.303119669066352,-0.065059169988221,0.230065126286935,0.141995887251113,0.236047597695261,0.212872235173964,0.243116282501085,0.108521832555535,-0.0354257460424956,-0.043798601130659,0.120850727746766,0.267720708226248,0.359792032101336,-0.0985283846775213,0.110158529375629,0.353872444454272,0.0522426680702912,0.171872256758396,0.237962724230808,0.015935303322503
"IPS_Charoentong",0.127852175373636,0.587293839370252,0.124895466218122,0.841913614573068,0.258907169129725,-0.0764056516262124,-0.0771611104154586,-0.642779553740945,0.3461234110909,-0.514442640428512,-0.142665474116284,0.289694255091012,-0.526183080208986,-0.261884283566286,-0.692372211583869,-1.30305395974773,0.707257105471678,2.59947391232794,1.77192098976741,-0.0648309584113609,0.930255995324408,1.076619499244,-0.559987364433944,-0.18177456993263,-0.557080284307202,-2.26932523020358,0.337382078980678,-0.117048978019307,0.958076743614258,-2.08486380985617,1.22495795557544,-1.22548147359173,-0.885283576962324
"IPSOV_Shen",0.275146177855483,0.106183050109953,0.090651287196587,0.16705345870362,0.106600889407668,0.0192384237150826,0.135729439385702,0.107986173814958,0.179315010798997,0.0825375719860889,0.19166268066253,0.1547880683766,0.0724625075615258,0.0213909119339728,0.126560911753986,0.123550953042193,0.12930292765373,0.00384164831497349,-0.0498047757702097,0.148698806334746,0.119970893307855,0.0276655739023552,0.113015209803876,0.0109311348877677,0.161365770658106,0.08695291792139,0.191363689303285,0.0132340371329075,0.0492752678591655,0.0346159129931025,0.121950110612808,0.119931689182572,0.0739213239200465
"IRG_Ayers",-0.524532419285522,-0.554151544336172,-0.397736463683604,0.446977209385612,-0.320520531957306,-0.375554085061117,-0.0965819549995389,-0.677330894643887,0.0341917874370587,-0.848464515923197,0.51214379654606,0.282881400014577,-0.283846837555069,-0.456155944241164,0.980802122975892,-0.262934801809925,-1.51147747914697,0.180853727777046,-1.1993811237225,0.324337243988736,0.348612402830627,1.41366911936951,0.963059948527361,-0.652796816183923,0.292481631959651,-0.210288571936796,1.50987624395972,1.36321923233887,-1.47592231536197,-0.216748340755978,1.00929960595877,0.199146137096672,0.202873030438481
"M1_Hwang",-0.172251406760447,-0.0252727125795905,0.10964109890928,0.418970813426137,-0.202477994852216,-0.183641474771707,-0.0176264847530956,-0.351308589174382,0.397525486677156,-0.224003418255039,0.495371078589094,0.179952636303537,-0.115574293031393,0.0123412426143551,0.477822382433934,-0.213514182146046,0.177709526397946,0.0521536473182275,-0.181425011955248,0.0956255751771622,0.0500131041620961,0.592071555607069,0.629700340999166,-0.319248824302793,0.18815744395989,-0.33001855126987,0.648604800175524,0.542729812636903,-0.351395199824476,-0.138280709464446,0.319232297729193,-0.124909528953869,-0.0087084616172808
"MHC-I_Liu",-0.00972348627052937,-0.376097053703359,-0.265687106420868,0.0917160660887302,-0.196279151146332,-0.3712802245823,-0.322003643218801,-0.453492298362054,0.0714164738486959,-0.3452347003486,0.183411326850653,-0.117639709180383,-0.432391734946556,-0.413337318770873,0.240581239464832,-0.268632749745068,-0.165830000282737,0.395424929431768,-0.0249074760269025,-0.0509942237594504,-0.00280937914668763,0.546507701637946,0.393209634932975,-0.101433542715948,0.392640715859963,-0.128896941662239,0.401673692503939,0.424381958518046,-0.0721079529036904,0.0566765311099888,0.271935947997424,-0.160023846956839,0.117786345331002
"MHC-II_Liu",0.020094962133858,-0.478195439781208,-0.125899452135011,-0.0634813198163578,-0.128957876184465,-0.173146339992404,-0.278848602203778,-0.354835243890158,-0.100520100878933,-0.454749607557636,0.0673773635488441,-0.143321659937863,-0.339390664806899,-0.224847045064939,-0.059098251424852,-0.256478179254164,-0.314141861282273,0.21732734674237,0.0804034347809492,0.170814625431722,-0.0968530403248797,0.521804560218792,0.309872881113444,0.149860776976344,-0.00652729419827761,0.13419660575304,0.498842060113842,0.468071539943687,-0.00598755570802693,0.302434201836871,0.487934651254203,0.0607614072099687,0.158417271602414
"PassON_Du",0.197112797388767,-0.3039223025395,-0.00707379162667443,0.132175959399596,-0.0622742483758893,-0.161405071123689,-0.0483869709809832,0.00362177755867274,0.0961763458305765,-0.30428105324704,0.139385189597659,0.138337415416974,-0.0904596043094314,-0.195605786418795,0.148091041817497,-0.124909520154523,-0.0259960018469906,0.275798020793171,0.0611567957812241,0.0235135979989874,-0.0058052461583165,0.500397858134296,0.317558232767147,0.355178038232874,-0.159507216118978,-0.0310870191380697,0.442903544316891,0.243747034081288,-0.176247141244817,0.213098386348393,0.174537465441835,0.117443056958161,0.108427550405825
"PDL1_Nishino",0.177723610207539,-0.617276544691074,-0.200097709395836,0.146360848576722,0.245675808658502,-0.0119976004798933,-0.415253857745822,-0.702874279661714,-0.400162245543156,0.0101979604079245,0.78164367126574,-0.077312203710721,0.0509898020395965,-0.357711253448235,0.560287942411519,0.140971805638881,-0.332328728762251,-0.337128285843793,-0.92741451709664,-0.666004066769541,-0.694464099698794,0.59507501754622,0.483295831808368,-0.283654732468135,0.276199256061597,0.0726245141362199,0.609508641258175,0.740841209440516,-0.764162358144265,0.636472705458899,0.50151357788144,-0.0647870425914713,0.171636329104836
"PredictIO_Bareche",-0.230960718654068,-0.473113918839632,0.137752115596021,0.0721602761108849,-0.697512596484886,-0.426622601126393,0.310767232816526,-0.734056754669774,0.352063296870738,-0.349531184499897,0.863877481385765,0.1283751814149,-0.550604621943807,-0.306287998563449,0.790731667088544,-0.238873895883947,-0.758847844614716,-0.533056495668324,-0.911548487888738,-0.130169350243079,-0.401884241777845,0.798569155421446,0.921584520465365,-0.360923584369252,0.256383819752858,-0.650009613934203,0.720880636098333,0.848405069641172,-0.82282351619706,0.0912242010823352,0.676057036797614,-0.298715371200854,0.35802962376859
"Teff_McDermott",-0.250247683581009,-0.407207207207195,0.592151955439138,0.528391838192118,0.194296512169486,-0.235178035178007,-0.429342013246099,-0.704641888852417,0.28487353332714,-0.0977204117045782,0.863663663663661,0.27082896850339,-0.386407259134528,-0.445918498051197,0.642042042042039,-0.416534902249163,-0.579683765398045,0.0759255747922747,-0.661149891613481,-0.68712296367165,-0.766821492773062,0.657721590577269,0.547466398437278,-0.420163020163014,-0.0264264264264305,-0.45399460117235,0.773816164919367,0.822402980250244,-0.740457391654021,0.565864028175043,-0.108108108108103,-0.442217954522936,0.271388236062151
"Teff-IFNG_Fehrenbacher",-0.454376701310504,-0.43432570100391,0.349073103614855,0.389272448481581,-0.553011783619728,-0.339263726532978,-0.573934811629625,-0.761131167268391,-0.0715603224722741,-0.156633762820399,0.7653429602888,-0.00488961262676529,-0.371001893686995,-0.59625243651895,0.637722613032914,-0.670220164461476,-0.74876468370354,0.40381949805443,-0.748213615258257,-0.53850782190132,-0.358227112522426,0.758724428399512,0.628727173826582,0.0072202166065001,0.104057884286189,-0.785674889691183,0.76113116726834,0.805655836341749,-0.732792543955329,0.654390549352134,0.554753309265946,-0.42787705528285,0.65615694517428
"TIS_Damotte",-0.38757464896477,-0.534784584266632,-0.0329778010996791,0.125084795640501,-0.139802376480707,-0.535757847545409,-0.451450955848007,-0.637540650953069,-0.173518742442567,-0.505142784409592,0.726622249994983,0.0369281817859892,-0.396565212567927,-0.58885802256666,0.482607675832334,-0.609241685135845,-0.634708758737044,0.0869882574878481,-0.66701592206944,-0.275705682101985,-0.206978951557331,0.681990907111793,0.589709857276103,-0.213900801986137,0.118214251318872,-0.159425526650263,0.855311321321218,0.714905844162259,-0.614120973815822,0.355640669022248,0.488300011879225,-0.322853688029004,0.284246910403739
"TUMOR-VASCULATURE-UP_Lu",-0.346776085793245,0.193673504500472,0.128738784752549,-0.226746622934124,-0.181365223514374,0.34424332150619,-0.0543095327647941,-0.160093533086399,-0.0576385774895604,0.203173886159042,-0.143648946936835,-0.37873998008522,-0.0124802873492394,0.108542421832901,-0.196578343275744,-0.229264724288633,0.128510664229135,0.323759522257675,0.198532478290684,0.0741584146990872,-0.180192043805537,-0.149012302923976,-0.135074423522828,-0.343762163437803,0.448570165564335,0.34515683620962,-0.290396235312269,0.262891185547758,0.248122303750309,0.246564086512654,-0.000388852860434399,-0.063934397172409,-0.250867326789641
"VIGex_Hernando-Calvo",-0.368734270427451,-0.37613036794829,0.355428025175314,0.207460941432683,-0.349288419643738,-0.233926947350019,-0.473569657538046,-0.693524037175433,-0.334724105887073,-0.139612824753543,0.755274261603383,0.014618499578341,-0.504193240124052,-0.653699176138721,0.508040591851971,-0.575426239796753,-0.634023324448179,0.113107567537945,-0.805692372548561,-0.485988844165727,-0.360256588591521,0.73830275692768,0.704938008217157,-0.144384742812981,0.337190401690472,-0.632431487675,0.636629071764803,0.761179899187873,-0.594197719725527,0.518300704100242,0.217152924902275,-0.493750746759267,0.665893649593814
